,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
TCGA-N5-A4R8-01A,33.6281300977904,2.027381696746341,-10.203420972057682,-1.6481502440740403,9.116783240479451,0.37706774808620336,-3.9761919139302204,2.2962194993932896,-2.679314086010299,-4.942228625611992,-4.246288253870917,3.3043701016357,-3.9469171302326083,2.630440920342094,4.414663300791266,-1.5163996454744282,-4.183746506052321,8.915584802604332
TCGA-N8-A4PI-01A,-14.43472851443893,-0.429795371160075,0.9287420289010838,-9.485116429850635,8.659665003913863,7.669678540813854,3.5601750705891813,12.46283745454195,7.684494368113719,-8.442343088827522,-8.763483394227476,-17.207923781270217,-14.12988118170086,-8.32756692828775,-0.9776877576295986,7.674035852514537,0.08216110175186338,10.11105301046127
TCGA-N6-A4VC-01A,-22.240708824772245,5.044093428554377,1.7220600508514827,13.59741181463009,17.16108058499215,-9.066675038642176,-1.833590235272367,5.37193181344094,3.6139373790379765,-2.008637507396474,-3.1985554598038286,-3.389988928931813,8.92769142930089,6.676579998088071,-0.498206203405692,-1.7364223455948733,6.141097383846213,-2.845576131504625
TCGA-NA-A4QY-01A,-4.027605489284048,-3.211775665210743,-3.206905656914378,11.621290900193758,-4.0339225825956895,20.805447201660638,-4.58453089204058,-4.502177589767131,6.948909594292927,2.3342751442798555,-6.593940460538465,11.248176985684148,3.3714874172992966,-0.2200724047172718,-9.163292002967788,-0.6438242713564344,1.5407782982000142,5.24374383315294
TCGA-N5-A4RM-01A,3.7219230679422517,-13.844352495932828,-15.35084031404154,-5.670985927642104,-11.41664654556806,-7.598390543748407,0.6822498560546806,0.6277194793405605,-10.364000076883537,1.2422403062547132,0.361591472084475,4.149329774640186,-1.1773869708736693,-6.2814267614357595,3.3034748607019866,7.76512068621834,3.1600531874281117,7.269506964292411
TCGA-N5-A4RN-01A,3.2459958659597326,-5.2889107344696935,-12.760256799243612,-6.921450002527259,-11.360241573951683,3.0675407898826683,-3.0631467916428234,-5.749627224479149,-7.335127347249745,-8.53070345511466,1.5385080815487697,-10.23148186610731,-5.856275788315738,8.387117881474097,-6.436274834673818,-2.436264284394056,11.581616237857943,-16.741503900838012
TCGA-N7-A59B-01A,-31.54675199416832,-17.797749046410065,11.314848492010244,-10.316652442174286,14.07609499582642,-3.4215532071035457,4.8756570338899,-7.087273229519441,-16.00782991753176,1.3805394546243708,4.298003363086519,4.66052267359678,-9.722083849694046,1.0361762935983392,-8.511587694814088,-11.248219782767775,-2.588478767204112,1.4542942645474282
TCGA-N5-A4RV-01A,3.2362258107133393,-14.272425708502874,-12.282609450606268,1.6039260423499748,-12.751288702323606,-7.157981203159559,-7.140127914048337,8.576730801277655,-15.05019606418821,-6.077949135480533,-9.624309569481701,-0.6090498631969983,0.8285649081421332,-13.649373636033022,4.6415045555825385,4.711929184116701,0.05393304504839553,-7.714253856795371
TCGA-N7-A4Y5-01A,41.49529359303129,-13.495909792561346,4.2611575601930305,-4.580207852390731,14.69400115999631,7.581763807618456,-8.091102666287718,-6.435285625904153,-2.622575012513338,1.619336503237689,1.057865187384538,-0.06746139070797201,1.278403728158516,-0.056377917383721755,-1.8880653576562467,2.1193136810963056,2.4241650448968066,-0.6792654804283381
TCGA-N9-A4Q8-01A,-25.898759857513454,-11.149372303266759,5.91543432724996,5.615192293568224,14.088923429388117,-9.389398095810376,-12.00259595348716,-5.173859588528658,1.4153491652694712,-1.4749729734647155,-0.9192057946870866,-1.5316032807579738,6.941474481980903,1.4160312729074112,-2.211057508304589,-4.002610865144383,-6.191036307385911,-6.672616611057917
TCGA-N5-A59F-01A,-9.463812623551886,4.477248543510277,5.5087761387995045,10.088024425806422,-6.71831923066596,8.284717163477447,12.381166424832877,-1.496898503852552,-6.75559368699394,-3.2094520664899755,8.390190439303968,-9.44692303941938,-0.08060316914773163,0.7718129437842143,-1.4122512813879182,0.10216453866869565,2.052687703313689,-1.3722601461093091
TCGA-N8-A4PQ-01A,14.892564638739524,22.051907575675898,15.50609304795147,-4.309149475334154,-11.950298810088583,-5.861846311408456,2.5557118793876414,-0.8294530896579005,-0.20324134485812728,-7.291238603729203,6.234734111028578,4.69840385943287,8.230004961433213,-3.9005235618370944,8.173794422334504,-6.929982204901271,-3.214185534240834,1.9039404610815234
TCGA-N8-A4PN-01A,38.88565179486819,11.911217276564978,3.8481229932251475,0.713348874651195,3.5491094206545446,1.9149278419354023,3.03291420639427,-0.5183636197549705,1.9179555729246505,-4.400578381967334,3.733578219054574,-8.53280412610755,-1.1460475832141803,2.9873457798426295,5.747256696064552,0.8689133598163375,-2.9082633407822263,-6.674972278687184
TCGA-N6-A4VG-01A,-11.486686715784105,0.2658561345072319,2.6274004968387867,12.842368723600806,-2.7246692581154135,10.816275965402298,-4.730201481827262,-3.545031975813997,9.096131370026493,-10.803059854544797,5.852503057982431,8.23812688836264,-3.5433291549370116,4.247059954503972,-0.7951208479002358,-1.596592986843936,-1.214526800739696,-2.730904508922539
TCGA-N9-A4PZ-01A,-12.934604680565172,7.418165845934876,-8.388989413672702,-14.48017344201418,-0.5918183630554832,-6.589904500110121,0.3212106061799809,-1.3667410468984926,0.5438888140413675,5.581594236659767,3.3048654930449994,1.473195466646927,-10.030958050994169,-0.17242036641564024,-2.0361522470039843,-1.1923580635092073,1.6662619651364734,4.485770285794679
TCGA-N7-A4Y0-01A,0.31893144047757854,-43.70790643562407,-9.666950534279916,0.03920928136230722,-2.1935373338584085,6.44296890987524,2.527391044895323,3.53247087802761,9.655258557951466,3.657996226398041,4.87442118163121,-2.8909102508322047,0.4170598992973753,-1.2319721240861075,21.061991460755593,-18.24184350055687,-2.5906644999810813,3.777223058081052
TCGA-NF-A4WU-01A,-16.91268428559782,3.3384772712135162,-6.305454073657049,22.458532423388668,15.86117536282618,-8.567117682760744,-10.843574648466275,-1.2537949580274834,-2.284191855718345,2.179064227664837,-1.50979110550581,-0.4770684095702827,0.3522146837676659,7.570255823348736,8.051239328843172,6.663168063971849,-1.4706938366553712,5.9417544333642
TCGA-QN-A5NN-01A,-9.41414754518193,-3.611131482368761,-6.53103490215324,-17.173419028657,-4.954761754388341,2.883001301500848,-5.686964951033514,6.273872988927977,1.0341200271979178,8.583103809470636,9.864069499897312,-7.662397303110965,11.83055931381023,9.282022359272581,-4.5570482923552325,-0.4632564998054219,-1.7648773255194445,3.990917081720132
TCGA-N5-A4RJ-01A,-7.124627415622796,4.8337335613711385,0.09249849685917708,10.897677153892502,-3.358883094257438,19.67686780519419,9.604946762702482,1.3254578016967622,-8.270617149913287,7.9463314402100345,3.914590499299417,7.606887513172412,5.186987559034956,-0.7699251058299328,-5.318290812936543,3.4299790271846327,3.0284052792150766,0.5623008072716428
TCGA-N6-A4VF-01A,-12.779682515553024,8.35848767694533,13.8723426326387,-18.161166823775705,-7.139424280140943,4.435196213632753,-0.14429063726513228,-4.343773794037808,1.8868209901753477,-3.5989101889480883,-10.447848969437578,1.8104485374739976,13.423930279569985,2.675666440903946,6.1344591866010445,12.488639109747679,-1.0993994885522118,1.122790237622437
TCGA-N7-A4Y8-01A,12.24558475152301,-28.993943067134012,-13.706987771886617,9.26598117574666,-3.1567199875034695,-1.9428591838812035,8.433360800184904,-4.26880394608617,-10.93558393736894,-1.954185445420336,-4.50021785916661,-2.945950931689095,5.269608666663351,3.732635843661894,-0.8430266371694013,1.7599931343058486,3.65833057857378,0.6182853602465643
TCGA-NA-A4R0-01A,-15.924418387121372,7.370520029474914,20.64124630883945,-3.541526099545773,-10.999512817635843,-0.4980788636082179,-7.61187677964535,0.9455936485403692,-0.2350837217569046,-5.2703182800427575,12.99304503839206,-2.677529986831706,-9.609641146325538,5.242649555756948,0.781709677756251,4.873390591969804,1.907250863991437,6.51045623921312
TCGA-N6-A4V9-01A,-14.595696965711323,8.38243202381112,-10.99780644034331,-5.4941189119087985,2.3768743673073707,-12.794497599867286,-16.349337081984306,7.368449118907175,4.766331521974039,22.868522888556008,2.7793198246452206,8.330015549668111,-6.107950724919132,-6.668222691389725,-2.023812185528096,1.3433168963620392,5.445379529929225,-4.445873780601693
TCGA-N9-A4Q1-01A,33.520031540044684,-6.0439693998815285,18.655759932009214,4.229200010392848,-3.6398641061928187,-9.340646920880394,0.6379866714607545,-7.269134967292866,-0.649434711196972,2.645476968676489,-0.9010989782562282,-4.496878076235484,2.0400898289182536,3.6099777505348323,-1.81851298940665,2.5930473254552857,-6.942143095488533,-3.9515702550091416
TCGA-N9-A4Q4-01A,29.656782813507533,2.4787962703041555,5.863917827520259,1.3503208034827365,8.912745517540234,-0.2776727080721236,4.809592056829992,0.08094481366128786,-3.374072763104194,9.653080303585101,-1.4953833821354037,0.7077404368457729,2.301733804663114,2.541975160738784,0.9902117329294238,0.08588997474720371,-2.9832921197157036,-6.538306072931268
TCGA-N5-A4RD-01A,16.12459495578491,5.250480412355934,-8.846746332249815,-0.43372538064348004,4.971735087634666,-3.1787355320774964,19.511305708618515,7.920328424949691,4.489850188231296,0.8111289617273774,-2.470219174656917,-0.30936480066783284,-2.702732423516456,-0.257160868128485,-7.844610008959642,5.656523405268864,0.5479908985360432,6.096120742484438
TCGA-NF-A5CP-01A,-17.38755266524851,3.0347177042341205,8.393889757317586,-18.33875335378272,1.0920460554058733,8.356762367837879,-8.585162466089098,8.582161557291967,0.5561896434296325,2.5446664545747426,9.234692611817879,-5.512843884815319,6.46877235675059,7.497832990936962,-0.27033827586004827,-0.49207631910777305,3.799593346396972,6.203183222662659
TCGA-N8-A4PP-01A,-1.9936753336359394,3.3270115530969733,17.155585617268674,7.730718914959024,-7.572183933166796,-3.362167838642688,1.6877724371058656,8.574288000298193,5.794148534449899,-6.040421835329403,-8.191321843679502,-2.2783000927268002,-1.813752528570436,-6.597770960775881,-12.991808897947559,-13.98353683537364,-2.9513924173500397,1.5442300984883248
TCGA-N5-A59E-01A,5.261071617745424,13.863188903930068,-13.911056186617454,5.471479865390582,-8.383154241799165,-1.8333406838030226,9.501300949375374,3.216729572387326,-7.95320510827356,2.9282402224630166,2.340394640529283,5.577537956049903,2.173636654618575,6.643597508040735,-0.24846756882455504,2.4255877895288878,3.687458575352779,1.5841321531585464
