folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,combus,eli_basura,tenencia,estim_pago,escrituras,tot_resid,tot_hom,tot_muj,est_socio,ing_tri,ing_tri_pc
1906164705,1,8,10,3,1,2,2,6,1,1,1,1,2,1,1,1,0,1,1,4,1,4,6000,1,2,1,1,3,153442.61,76721.305
1906165902,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,3500,1,3,2,1,3,78994.53,26331.51
1906165903,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,0,0,1,1,4,1,3,5000,1,5,4,1,3,32771.73,6554.346
1906165906,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,1, ,,6,2,4,3,80951.05,13491.84167
1906166201,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,3,3500,1,5,2,3,3,139308.54,27861.708
1906166202,1,8,10,3,1,2,2,5,1,1,1,1,2,1,1,0,0,1,1,4,1,4,3000,3,4,2,2,3,38571.41,9642.8525
1906166203,1,8,10,3,2,,3,6,1,1,1,1,2,1,2,0,0,1,1,4,1,4,5000,1,7,3,4,3,190310.37,27187.19571
1906166204,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,1,0,1,1,3,1,1, ,,3,2,1,3,278554.9,92851.63333
1906166205,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,4,3500,3,1,0,1,3,43021.97,43021.97
1906166206,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,2,3000,,2,1,1,3,26554.92,13277.46
1906167501,7,8,10,3,1,2,3,6,1,1,1,1,2,1,2,0,0,1,1,3,1,4,3000,1,5,2,3,2,197315.2,39463.04
1906167502,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,5,3000,,3,1,2,2,88838.27,29612.75667
1906167503,1,8,10,2,1,2,1,3,1,1,1,1,2,1,1,0,0,1,1,3,1,5,2500,,1,1,0,2,20249.99,20249.99
1906167504,1,8,10,2,2,,1,1,1,1,1,1,1,1,1,0,0,1,1,3,1,5,1000,,1,0,1,2,12326.08,12326.08
1906167505,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,6,3,3,2,75203.77,12533.96167
1906167506,1,8,10,2,1,2,3,5,1,1,1,1,2,1,1,1,0,1,1,4,1,4,3000,4,6,2,4,2,55467.38,9244.563333
1906168701,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,9,3,6,2,166524.57,18502.73
1906168702,2,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,4,2000,1,2,1,1,2,53606.53,26803.265
1906168703,1,8,10,3,1,2,3,6,1,1,1,1,2,1,1,0,0,1,1,4,1,4,7000,1,3,1,2,2,126291.1,42097.03333
1906168704,1,8,10,3,1,2,2,5,1,1,1,1,2,1,1,0,0,1,1,4,1,2,3000,,2,1,1,2,99590.15,49795.075
1906168706,1,8,10,3,1,2,4,5,1,1,1,1,2,1,1,0,0,1,1,3,1,4,2000,1,6,5,1,2,32508.18,5418.03
1906169401,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,4,5000,1,4,2,2,3,158184.72,39546.18
1906169402,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,4,6000,1,2,1,1,3,69040.73,34520.365
1906169403,1,3,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,4,3000,1,2,2,0,3,67255.41,33627.705
1906169404,1,8,10,3,1,2,3,6,1,1,1,1,2,1,2,0,0,1,1,4,1,4,6000,1,2,1,1,3,82173.9,41086.95
1906169405,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,3,4000,1,4,2,2,3,55027.16,13756.79
1906170501,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,5,3500,,3,1,2,4,46741.28,15580.42667
1906170502,1,8,10,3,1,2,3,5,1,1,1,1,2,1,3,0,0,1,1,4,1,4,4000,1,3,1,2,4,78290.2,26096.73333
1906170503,1,8,10,3,1,2,1,5,1,1,1,1,2,1,2,1,0,1,1,4,1,3,2000,1,4,2,2,4,170792.09,42698.0225
1906170504,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,1,0,1,1,4,1,3,15000,1,5,3,2,4,195260.85,39052.17
1906170505,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,1,0,1,1,4,1,3,10000,1,4,2,2,4,354619.55,88654.8875
1906170506,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,1,0,1,1,4,1,3,8000,1,5,3,2,4,328353.22,65670.644
1906171702,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,1,0,1,1,4,1,4,8000,1,3,1,2,4,132698.33,44232.77667
1906171703,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,0,0,1,1,4,1,3,7000,3,4,2,2,4,187377.02,46844.255
